#=====================================================
# File created:        Thu-19-Oct-2023-at-11-08-38AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.692282
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2588.9405  0.2767 
   00001    0.6812   -3754.7173  0.2645 
   00002    0.6140   -4437.7945  0.2703 
   00003    0.5912   -5016.8181  0.2789 
   00004    0.5660   -5439.2019  0.2744 
   00005    0.5456   -5765.0664  0.2762 
   00006    0.5440   -6064.0753  0.2757 
   00007    0.5064   -6242.9023  0.2732 
   00008    0.4976   -6388.1203  0.2787 
   00009    0.4904   -6563.1453  0.2766 
   00010    0.4848   -6753.6502  0.2787 
   00011    0.4704   -6850.1374  0.2831 
   00012    0.4808   -6953.5070  0.2819 
   00013    0.4700   -7050.2545  0.2788 
   00014    0.4716   -7157.6197  0.2815 
   00015    0.4696   -7249.8974  0.2872 
   00016    0.4568   -7356.9546  0.2976 
   00017    0.4532   -7385.8867  0.2989 
   00018    0.4348   -7408.6318  0.3050 
   00019    0.4528   -7486.1042  0.3054 
   00020    0.4340   -7536.9818  0.3032 
   00021    0.4456   -7576.7162  0.3045 
   00022    0.4592   -7628.8172  0.3018 
   00023    0.4364   -7686.1463  0.2999 
   00024    0.4564   -7689.5566  0.3003 
   00025    0.4676   -7694.1804  0.3068 
   00026    0.4596   -7706.2844  0.3046 
   00027    0.4452   -7696.6523  0.3065 
   00028    0.4544   -7729.5961  0.3095 
   00029    0.4500   -7820.4054  0.3082 
   00030    0.4488   -7869.1390  0.3109 
   00031    0.4160   -7859.8419  0.3083 
   00032    0.4424   -7861.8600  0.3116 
   00033    0.4256   -7872.9884  0.3168 
   00034    0.4320   -7891.2345  0.3224 
   00035    0.4272   -7863.4915  0.3260 
   00036    0.4504   -7877.8817  0.3229 
   00037    0.4200   -7925.4780  0.3227 
   00038    0.4284   -7951.1437  0.3292 
   00039    0.4236   -7976.2544  0.3335 
   00040    0.4400   -7961.2981  0.3340 
   00041    0.4408   -7950.8047  0.3344 
   00042    0.4344   -7998.8228  0.3304 
   00043    0.4208   -8023.8169  0.3332 
   00044    0.4212   -8062.1946  0.3306 
   00045    0.4292   -8042.0368  0.3337 
   00046    0.4436   -8062.5393  0.3309 
   00047    0.4360   -8084.4314  0.3294 
   00048    0.4196   -8078.0236  0.3221 
   00049    0.4252   -8087.9759  0.3250 
   00050    0.4396   -8099.5827  0.3298 
