#=====================================================
# File created:        Tue-07-Nov-2023-at-04-12-14PM
# Size of lattice:     80x80
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        311.576499
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6415.5597  0.2642 
   00001    0.6956   -9484.2748  0.2690 
   00002    0.6441  -11129.9918  0.2743 
   00003    0.6033  -12104.6330  0.2697 
   00004    0.5717  -12744.7626  0.2632 
   00005    0.5614  -13105.8065  0.2620 
   00006    0.5413  -13600.9664  0.2629 
   00007    0.5292  -13922.0135  0.2607 
   00008    0.5203  -14038.6998  0.2601 
   00009    0.5236  -14339.7949  0.2626 
   00010    0.5269  -14353.9832  0.2591 
   00011    0.5114  -14429.1117  0.2559 
   00012    0.5134  -14558.3563  0.2556 
   00013    0.5083  -14640.5751  0.2541 
   00014    0.5091  -14866.2434  0.2597 
   00015    0.4869  -15003.7986  0.2705 
   00016    0.4959  -14887.1166  0.2684 
   00017    0.4972  -14864.2858  0.2698 
   00018    0.5039  -14841.4829  0.2683 
   00019    0.5086  -14872.9998  0.2669 
   00020    0.5011  -14948.3452  0.2607 
   00021    0.5131  -14804.5904  0.2660 
   00022    0.4970  -14959.4161  0.2655 
   00023    0.4997  -14893.0478  0.2609 
   00024    0.4975  -14861.8683  0.2725 
   00025    0.4934  -14873.4303  0.2661 
   00026    0.5048  -14897.1155  0.2593 
   00027    0.4920  -15000.5674  0.2526 
   00028    0.4936  -15189.9153  0.2685 
   00029    0.4919  -15255.7536  0.2725 
   00030    0.4866  -14936.2323  0.2634 
   00031    0.5000  -14759.5564  0.2657 
   00032    0.5027  -14876.7526  0.2702 
   00033    0.4920  -14891.9431  0.2699 
   00034    0.4898  -14928.7800  0.2711 
   00035    0.4917  -14955.3768  0.2741 
   00036    0.4902  -15105.1609  0.2861 
   00037    0.4958  -15101.2602  0.2778 
   00038    0.4841  -14882.9840  0.2736 
   00039    0.5006  -14854.7589  0.2741 
   00040    0.4908  -14866.4876  0.2801 
   00041    0.5039  -14979.4773  0.2799 
   00042    0.4903  -14994.3630  0.2701 
   00043    0.4961  -15166.5624  0.2646 
   00044    0.4978  -15016.0516  0.2688 
   00045    0.4888  -15035.0317  0.2689 
   00046    0.4980  -15059.6188  0.2616 
   00047    0.4853  -15061.1875  0.2527 
   00048    0.5003  -15076.4901  0.2541 
   00049    0.4894  -14964.1595  0.2539 
   00050    0.5017  -14988.7046  0.2573 
   00051    0.4980  -14998.2456  0.2584 
   00052    0.4958  -15147.0280  0.2559 
   00053    0.4859  -15221.6648  0.2585 
   00054    0.4872  -15240.8030  0.2560 
   00055    0.4814  -15325.0174  0.2572 
   00056    0.4831  -15333.6308  0.2563 
   00057    0.4756  -15269.1114  0.2576 
   00058    0.4958  -15143.7868  0.2627 
   00059    0.5008  -14997.5097  0.2649 
   00060    0.4953  -15072.5470  0.2696 
   00061    0.4953  -15176.7264  0.2737 
   00062    0.4917  -15265.9190  0.2712 
   00063    0.4789  -15234.0963  0.2758 
   00064    0.4927  -15110.8718  0.2736 
   00065    0.4875  -15033.4191  0.2802 
   00066    0.4906  -15048.5765  0.2799 
   00067    0.5008  -15125.7422  0.2862 
   00068    0.4995  -15035.3617  0.2888 
   00069    0.5069  -14938.9765  0.2927 
   00070    0.4980  -14960.6171  0.2984 
   00071    0.4922  -15071.9459  0.2978 
   00072    0.4945  -15060.6359  0.2965 
   00073    0.5038  -15079.9540  0.2815 
   00074    0.4878  -15065.3363  0.2839 
   00075    0.5006  -15094.9354  0.2788 
   00076    0.4839  -15158.5537  0.2782 
   00077    0.4966  -15080.3108  0.2819 
   00078    0.4873  -15120.2139  0.2821 
   00079    0.4873  -15237.5172  0.2792 
   00080    0.4966  -15191.4762  0.2710 
