#=====================================================
# File created:        Mon-06-Nov-2023-at-12-32-21PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 1.400
# Run time (s):        6.771528
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1523.3608  0.2639 
   00001    0.7412   -2174.2584  0.2625 
   00002    0.7131   -2516.6298  0.2575 
   00003    0.6737   -2683.0006  0.2720 
   00004    0.6362   -2721.7898  0.2586 
   00005    0.6425   -2817.5643  0.2664 
   00006    0.6500   -2939.4128  0.2575 
   00007    0.6525   -2974.6155  0.2669 
   00008    0.6088   -3005.6446  0.2762 
   00009    0.6262   -2978.0070  0.2926 
   00010    0.6288   -2984.2461  0.2822 
   00011    0.6269   -3019.4646  0.2663 
   00012    0.6481   -3008.3339  0.2632 
   00013    0.6338   -3077.8595  0.2811 
   00014    0.5869   -3119.0105  0.2908 
   00015    0.5856   -3045.6169  0.2752 
   00016    0.6106   -3074.9083  0.2813 
   00017    0.6156   -3083.5204  0.2825 
   00018    0.5944   -3114.4954  0.2788 
   00019    0.6438   -3108.4251  0.2651 
   00020    0.6094   -3018.5811  0.2637 
   00021    0.6069   -3081.7036  0.2620 
   00022    0.5981   -3098.5309  0.2668 
   00023    0.6031   -3115.3424  0.2585 
   00024    0.5875   -3061.6243  0.2607 
   00025    0.6056   -2980.5643  0.2634 
   00026    0.6156   -2976.3043  0.2697 
   00027    0.6181   -2987.7786  0.2581 
   00028    0.6181   -2954.1662  0.2608 
   00029    0.6112   -2972.2022  0.2651 
   00030    0.6112   -2994.4932  0.2563 
   00031    0.6306   -3022.2148  0.2694 
   00032    0.6300   -3077.3583  0.2733 
   00033    0.6256   -3120.1778  0.2577 
   00034    0.6138   -3092.7220  0.2662 
   00035    0.5994   -3058.1255  0.2761 
   00036    0.6244   -3055.8402  0.2677 
   00037    0.6094   -3028.1091  0.2553 
   00038    0.6056   -2987.5698  0.2721 
   00039    0.6100   -2883.2002  0.2810 
   00040    0.6075   -2994.2823  0.2775 
   00041    0.6225   -3018.3027  0.2847 
   00042    0.6325   -3024.8526  0.2956 
   00043    0.6162   -3071.5835  0.2897 
   00044    0.6162   -3093.2991  0.2919 
   00045    0.6038   -3157.4789  0.2929 
   00046    0.5919   -3093.1538  0.3037 
   00047    0.5956   -3115.9809  0.2909 
   00048    0.6131   -3081.1985  0.2911 
   00049    0.6088   -3010.0664  0.2877 
   00050    0.6081   -2963.0620  0.3037 
   00051    0.6344   -2949.2193  0.3159 
   00052    0.6300   -2952.7145  0.2697 
   00053    0.6188   -3139.4903  0.2634 
   00054    0.6075   -3127.9853  0.2831 
   00055    0.5737   -3134.1261  0.3091 
   00056    0.6019   -3240.1019  0.3113 
   00057    0.6106   -3043.0782  0.3023 
   00058    0.6400   -2983.4715  0.3176 
   00059    0.6131   -3093.5619  0.3232 
   00060    0.6231   -3019.4323  0.3355 
   00061    0.6144   -3000.6699  0.3233 
   00062    0.6025   -2941.0371  0.3185 
   00063    0.6188   -2984.7078  0.3172 
   00064    0.6050   -3147.1665  0.3246 
   00065    0.5813   -3130.2030  0.3235 
   00066    0.5869   -3167.9003  0.3059 
   00067    0.6231   -3114.4821  0.3133 
   00068    0.6112   -3008.8884  0.2998 
   00069    0.6275   -2945.4113  0.2781 
   00070    0.6375   -2965.3269  0.2740 
   00071    0.6088   -3026.8202  0.2754 
   00072    0.6269   -2981.7171  0.2919 
   00073    0.6094   -2939.7628  0.2915 
   00074    0.6300   -2995.5386  0.3109 
   00075    0.6419   -2971.0202  0.3020 
   00076    0.6275   -2960.0299  0.2982 
   00077    0.5981   -3034.0333  0.3088 
   00078    0.6038   -3065.6839  0.3176 
   00079    0.6094   -3088.4256  0.3053 
   00080    0.6031   -2986.8460  0.2978 
   00081    0.6319   -2928.4218  0.2797 
   00082    0.6425   -2967.4575  0.2778 
   00083    0.6369   -2970.1074  0.2782 
   00084    0.6050   -2982.7181  0.2882 
   00085    0.6338   -2988.8733  0.2908 
   00086    0.6112   -2986.8435  0.3035 
   00087    0.6381   -2958.7527  0.2998 
   00088    0.6112   -2960.8634  0.3014 
   00089    0.6331   -2944.7368  0.2811 
   00090    0.6031   -3020.0236  0.2645 
   00091    0.6175   -3068.2934  0.2773 
   00092    0.6038   -3016.7778  0.2768 
   00093    0.6225   -3045.4116  0.2762 
   00094    0.6488   -2968.4784  0.2876 
   00095    0.6212   -2975.4229  0.2934 
   00096    0.6125   -3050.5476  0.2927 
   00097    0.6106   -2978.6581  0.3077 
   00098    0.6025   -3116.1599  0.3112 
   00099    0.5975   -3132.0144  0.2921 
   00100    0.5844   -3096.2044  0.2890 
   00101    0.5731   -3110.0082  0.2756 
   00102    0.6100   -3079.8179  0.2841 
   00103    0.5938   -3023.3260  0.2569 
   00104    0.6200   -3050.5941  0.2765 
   00105    0.6156   -3112.9418  0.2820 
   00106    0.5944   -3118.6114  0.2904 
   00107    0.5837   -3098.1631  0.2733 
   00108    0.5994   -3148.4366  0.2597 
   00109    0.5969   -3048.4017  0.2649 
   00110    0.6319   -2982.0558  0.2754 
   00111    0.6131   -3066.8098  0.2704 
   00112    0.6144   -2972.4624  0.2781 
   00113    0.6119   -3065.5896  0.2712 
   00114    0.6338   -3132.5245  0.2724 
   00115    0.6069   -3014.6243  0.2556 
   00116    0.6219   -2990.0407  0.2576 
   00117    0.6200   -3020.4151  0.2658 
   00118    0.6081   -3007.1873  0.2682 
   00119    0.6156   -2953.7805  0.2582 
   00120    0.6275   -2968.0743  0.2611 
   00121    0.6156   -3007.0758  0.2670 
   00122    0.6156   -3101.2327  0.2894 
   00123    0.6094   -3066.2594  0.2699 
   00124    0.5975   -3089.5636  0.2862 
   00125    0.6144   -3130.9377  0.2903 
   00126    0.6175   -3116.3326  0.2855 
   00127    0.6006   -3127.1388  0.3049 
   00128    0.6138   -3018.9630  0.3260 
   00129    0.6150   -3036.2471  0.3442 
   00130    0.6012   -3050.3670  0.3539 
   00131    0.6169   -2993.9578  0.3407 
   00132    0.6031   -2985.8144  0.3305 
   00133    0.6312   -2982.9337  0.3212 
   00134    0.6406   -3002.0104  0.3449 
   00135    0.6138   -3069.0683  0.3632 
   00136    0.5856   -3099.8483  0.3446 
   00137    0.6006   -2966.0026  0.3426 
   00138    0.6050   -2944.4495  0.3235 
   00139    0.6325   -2983.7671  0.3075 
   00140    0.6050   -2967.6903  0.3251 
   00141    0.6381   -3020.9947  0.3092 
   00142    0.6194   -2984.6785  0.3294 
   00143    0.6181   -3021.4212  0.3436 
   00144    0.6275   -2923.8061  0.3344 
   00145    0.6075   -2935.4030  0.3173 
   00146    0.6169   -2869.2337  0.3112 
   00147    0.6275   -3027.3507  0.3019 
   00148    0.6075   -2985.6578  0.2793 
   00149    0.5975   -3021.9270  0.2867 
   00150    0.6138   -2903.1229  0.3065 
   00151    0.6300   -2969.1639  0.3079 
   00152    0.6250   -3039.0734  0.2929 
   00153    0.6094   -2939.8002  0.2886 
   00154    0.6106   -2953.9396  0.2917 
   00155    0.6188   -2939.5228  0.2835 
   00156    0.6350   -2947.2269  0.2695 
   00157    0.6300   -2923.2373  0.2750 
   00158    0.6388   -2978.6058  0.2657 
   00159    0.6175   -3034.9168  0.2575 
   00160    0.6081   -3017.7363  0.2666 
   00161    0.6231   -3033.6549  0.2681 
   00162    0.6050   -3049.6416  0.2738 
   00163    0.5962   -3046.1329  0.2711 
   00164    0.6175   -3047.2599  0.2719 
   00165    0.6169   -3044.5735  0.2808 
   00166    0.6075   -2990.0940  0.2960 
   00167    0.6038   -3027.5480  0.2890 
   00168    0.6100   -2999.6319  0.2858 
   00169    0.6275   -3019.7795  0.2704 
   00170    0.5969   -3091.4965  0.2613 
   00171    0.6081   -3057.3599  0.2828 
   00172    0.6275   -2989.5991  0.2734 
   00173    0.6106   -2968.1717  0.2820 
   00174    0.6288   -3055.4441  0.2723 
   00175    0.6306   -2975.0021  0.2530 
   00176    0.6088   -2946.8438  0.2644 
   00177    0.6188   -2946.4754  0.2678 
   00178    0.6275   -3002.3053  0.2794 
   00179    0.6169   -2968.7940  0.2777 
   00180    0.6112   -3013.9272  0.2863 
   00181    0.6081   -2984.6914  0.2905 
   00182    0.6350   -2957.2661  0.2964 
   00183    0.6062   -3064.8188  0.2835 
   00184    0.6106   -2987.1278  0.2571 
   00185    0.6050   -3066.8263  0.2707 
   00186    0.5906   -3138.0258  0.2799 
   00187    0.5913   -3064.1407  0.3057 
   00188    0.6094   -3043.3352  0.2906 
   00189    0.6012   -3096.2866  0.2882 
   00190    0.6088   -3028.3263  0.2612 
   00191    0.5994   -2982.7568  0.2709 
   00192    0.6006   -3013.9270  0.2949 
   00193    0.6219   -3011.2243  0.3032 
   00194    0.5931   -2986.0081  0.3012 
   00195    0.6075   -2984.4366  0.2975 
   00196    0.6312   -3019.8760  0.2870 
   00197    0.6112   -2956.3947  0.2741 
   00198    0.6212   -3071.9353  0.2831 
   00199    0.6075   -3069.8804  0.2687 
   00200    0.6125   -3063.5887  0.2774 
   00201    0.6212   -3075.6977  0.2625 
   00202    0.6031   -2987.5806  0.2803 
   00203    0.6175   -3049.1578  0.2736 
   00204    0.6125   -2999.1987  0.2805 
   00205    0.6169   -2933.5649  0.2601 
   00206    0.6244   -2945.2986  0.2577 
   00207    0.6162   -2937.2216  0.2608 
   00208    0.6156   -3037.0891  0.2679 
   00209    0.6231   -2983.9525  0.2810 
   00210    0.6031   -3078.3381  0.2905 
   00211    0.6050   -2961.3059  0.2877 
   00212    0.6200   -2988.7760  0.2886 
   00213    0.6194   -3056.0135  0.2926 
   00214    0.6050   -3037.8734  0.2866 
   00215    0.6400   -3042.3960  0.2939 
   00216    0.6181   -3075.8635  0.2980 
   00217    0.6044   -3103.2387  0.2902 
   00218    0.6169   -3087.4000  0.2912 
   00219    0.5906   -3147.4399  0.2952 
   00220    0.5925   -3139.3062  0.2977 
   00221    0.5969   -3137.4401  0.2766 
   00222    0.5900   -3120.1287  0.2782 
   00223    0.6112   -3036.2557  0.2776 
   00224    0.6081   -3104.6187  0.2838 
   00225    0.6438   -3039.3854  0.2886 
   00226    0.6012   -3060.3740  0.2693 
   00227    0.5844   -3127.2981  0.2921 
   00228    0.5975   -3138.3024  0.2948 
   00229    0.6150   -3093.7378  0.2862 
   00230    0.6075   -3005.6495  0.2716 
   00231    0.6031   -3023.6821  0.2760 
   00232    0.6450   -3021.4868  0.2616 
   00233    0.6212   -3071.1282  0.2732 
   00234    0.6206   -2934.7996  0.2831 
   00235    0.6106   -2984.6610  0.2740 
   00236    0.6119   -2985.0266  0.2767 
   00237    0.6200   -2980.5885  0.2678 
   00238    0.6038   -2946.2891  0.2858 
   00239    0.6262   -2935.5132  0.2890 
   00240    0.6312   -2940.5014  0.2952 
   00241    0.6350   -3045.3987  0.2870 
   00242    0.6375   -2971.5040  0.2750 
   00243    0.6238   -2950.1451  0.2706 
   00244    0.6269   -3013.1916  0.2737 
   00245    0.6069   -3119.7755  0.2734 
   00246    0.6006   -3048.4907  0.2617 
   00247    0.5950   -2964.0954  0.2852 
   00248    0.6194   -3030.0310  0.3008 
   00249    0.5906   -2994.8945  0.2916 
   00250    0.6194   -3080.5944  0.2837 
   00251    0.6019   -3040.0904  0.2853 
   00252    0.6381   -2974.3818  0.2624 
   00253    0.6100   -2930.7802  0.2595 
   00254    0.6081   -2958.2119  0.2565 
   00255    0.6044   -2993.2493  0.2743 
   00256    0.6188   -2910.6383  0.2531 
   00257    0.6044   -2907.3147  0.2787 
   00258    0.6469   -2886.6626  0.2699 
   00259    0.6088   -2909.5638  0.2865 
   00260    0.6281   -2886.5239  0.2827 
   00261    0.6362   -2991.7781  0.2652 
   00262    0.6212   -2943.9957  0.2575 
   00263    0.6575   -2975.1614  0.2609 
   00264    0.6362   -3013.0620  0.2739 
   00265    0.6012   -3075.3003  0.2630 
   00266    0.6344   -3087.2745  0.2672 
   00267    0.6138   -3072.7462  0.2770 
   00268    0.6025   -2987.1982  0.2837 
   00269    0.6181   -2901.2043  0.2780 
   00270    0.6356   -3080.1926  0.2719 
   00271    0.6150   -3121.0415  0.2873 
