#=====================================================
# File created:        Tue-07-Nov-2023-at-11-55-04AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.400
# Run time (s):        16.268752
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -374.2136  0.3035 
   00001    0.7075    -587.1111  0.3604 
   00002    0.6175    -706.0579  0.3776 
   00003    0.6375    -781.5987  0.4026 
   00004    0.5625    -880.8075  0.4345 
   00005    0.5750    -940.6042  0.4522 
   00006    0.5225    -967.2414  0.4530 
   00007    0.5450   -1021.0765  0.4538 
   00008    0.5375   -1063.4479  0.4625 
   00009    0.5050   -1107.6369  0.4657 
   00010    0.5175   -1151.5392  0.4827 
   00011    0.4850   -1170.5185  0.4792 
   00012    0.4475   -1181.2551  0.4855 
   00013    0.5200   -1204.0799  0.4777 
   00014    0.4400   -1219.8505  0.4824 
   00015    0.4700   -1245.3910  0.4822 
   00016    0.4800   -1243.6526  0.4726 
   00017    0.4375   -1266.1787  0.4836 
   00018    0.4600   -1281.7070  0.4896 
   00019    0.4125   -1296.5315  0.4963 
   00020    0.4275   -1296.4677  0.4949 
   00021    0.4825   -1294.0732  0.5040 
   00022    0.4450   -1290.5699  0.4967 
   00023    0.4350   -1289.3018  0.4940 
   00024    0.4375   -1305.9854  0.5072 
   00025    0.4350   -1313.8764  0.5110 
   00026    0.4225   -1319.1864  0.5134 
   00027    0.4525   -1318.2576  0.5127 
   00028    0.4375   -1336.6026  0.5180 
   00029    0.4225   -1342.5342  0.5233 
   00030    0.5175   -1349.6443  0.5346 
   00031    0.4175   -1347.0555  0.5491 
   00032    0.4200   -1337.4613  0.5570 
   00033    0.4500   -1344.1089  0.5661 
   00034    0.4600   -1349.6835  0.5540 
   00035    0.4125   -1351.7348  0.5451 
   00036    0.4450   -1337.1045  0.5436 
   00037    0.4175   -1346.0617  0.5465 
   00038    0.4450   -1359.1383  0.5492 
   00039    0.4325   -1361.9315  0.5575 
   00040    0.4350   -1370.8798  0.5521 
   00041    0.4625   -1377.3871  0.5484 
   00042    0.4600   -1377.6587  0.5575 
   00043    0.4400   -1378.6310  0.5656 
   00044    0.4275   -1372.5040  0.5635 
   00045    0.4550   -1376.4499  0.5790 
   00046    0.4350   -1372.7638  0.5928 
   00047    0.3900   -1373.5125  0.6082 
   00048    0.4200   -1375.5695  0.6101 
   00049    0.4025   -1360.9422  0.5934 
   00050    0.4225   -1370.7916  0.6015 
   00051    0.3900   -1374.2884  0.5946 
   00052    0.4425   -1372.4670  0.5869 
   00053    0.4300   -1369.3689  0.5907 
   00054    0.4400   -1377.7882  0.5938 
   00055    0.4475   -1386.0922  0.5929 
   00056    0.4400   -1383.1184  0.5826 
   00057    0.3925   -1396.7052  0.5937 
   00058    0.4325   -1373.5895  0.5826 
   00059    0.4575   -1367.4110  0.5977 
   00060    0.4225   -1375.0406  0.6013 
   00061    0.4625   -1377.2578  0.6087 
   00062    0.4000   -1388.1023  0.6247 
   00063    0.4050   -1375.2573  0.6251 
   00064    0.4325   -1370.8502  0.6305 
   00065    0.4300   -1379.9454  0.6351 
   00066    0.4000   -1377.9309  0.6433 
   00067    0.4125   -1377.6180  0.6489 
   00068    0.4250   -1367.3783  0.6282 
   00069    0.4250   -1371.9857  0.6332 
   00070    0.3950   -1361.2919  0.6474 
   00071    0.4500   -1350.2065  0.6620 
   00072    0.3975   -1352.0396  0.6701 
   00073    0.4525   -1371.0477  0.6727 
   00074    0.4950   -1382.6157  0.6837 
   00075    0.4125   -1382.4681  0.6834 
   00076    0.4950   -1375.1876  0.6872 
   00077    0.4150   -1385.5933  0.6952 
   00078    0.4425   -1384.0917  0.6943 
   00079    0.4000   -1381.6621  0.6886 
   00080    0.3875   -1389.1368  0.6877 
   00081    0.4325   -1395.4377  0.6960 
   00082    0.3950   -1399.5217  0.6894 
   00083    0.4400   -1398.7117  0.6924 
   00084    0.4450   -1380.9024  0.6940 
   00085    0.4275   -1383.1113  0.6933 
   00086    0.4525   -1396.0384  0.7002 
   00087    0.4050   -1389.9753  0.7029 
   00088    0.4525   -1383.9646  0.6930 
   00089    0.4575   -1376.0588  0.6996 
   00090    0.4450   -1379.7112  0.6864 
   00091    0.4350   -1378.5162  0.6792 
   00092    0.4550   -1380.4413  0.6865 
   00093    0.4075   -1375.2965  0.6796 
   00094    0.4350   -1382.9298  0.6999 
   00095    0.4300   -1385.8870  0.7094 
   00096    0.4250   -1379.4943  0.7067 
   00097    0.4475   -1377.8933  0.7084 
   00098    0.4625   -1374.7817  0.7060 
   00099    0.4075   -1381.4069  0.7161 
   00100    0.4500   -1367.4032  0.7119 
   00101    0.4475   -1379.4844  0.7124 
   00102    0.4000   -1367.1530  0.7154 
   00103    0.4450   -1370.4972  0.7284 
   00104    0.4400   -1374.4441  0.7284 
   00105    0.4075   -1372.6456  0.7438 
   00106    0.4275   -1377.5752  0.7440 
   00107    0.4550   -1393.4760  0.7437 
   00108    0.4900   -1392.3487  0.7431 
   00109    0.4500   -1394.1673  0.7503 
   00110    0.3900   -1390.2988  0.7618 
   00111    0.4025   -1394.4181  0.7659 
   00112    0.4600   -1371.0011  0.7540 
   00113    0.4000   -1368.9678  0.7542 
   00114    0.4525   -1393.2903  0.7455 
   00115    0.4275   -1383.1596  0.7594 
   00116    0.4550   -1389.0274  0.7468 
   00117    0.4550   -1389.9712  0.7561 
   00118    0.4475   -1393.8369  0.7581 
   00119    0.4275   -1376.6046  0.7665 
   00120    0.4600   -1389.0362  0.7630 
   00121    0.4250   -1384.5772  0.7560 
   00122    0.4125   -1384.7043  0.7614 
   00123    0.4325   -1383.9112  0.7398 
   00124    0.4425   -1384.7322  0.7344 
   00125    0.4175   -1381.2122  0.7318 
   00126    0.4225   -1391.0799  0.7471 
   00127    0.4300   -1398.4024  0.7580 
   00128    0.4125   -1396.4471  0.7563 
   00129    0.4300   -1403.5065  0.7559 
   00130    0.4350   -1391.6523  0.7520 
   00131    0.4225   -1389.6477  0.7521 
   00132    0.4250   -1388.6258  0.7395 
   00133    0.4025   -1393.6408  0.7454 
   00134    0.4200   -1390.5453  0.7428 
   00135    0.4400   -1386.3076  0.7392 
   00136    0.4600   -1392.5905  0.7446 
   00137    0.4575   -1398.1212  0.7504 
   00138    0.4675   -1398.7431  0.7557 
   00139    0.4425   -1402.5171  0.7662 
   00140    0.4275   -1412.2391  0.7769 
   00141    0.3950   -1403.6977  0.7737 
   00142    0.3950   -1389.3992  0.7755 
   00143    0.4525   -1391.8605  0.7729 
   00144    0.4600   -1404.4814  0.7720 
   00145    0.4525   -1393.5429  0.7806 
   00146    0.4050   -1404.1333  0.7825 
   00147    0.4525   -1386.9715  0.7851 
   00148    0.4700   -1394.6928  0.7896 
   00149    0.4375   -1399.4119  0.7892 
   00150    0.3925   -1402.2068  0.7848 
   00151    0.4175   -1395.9339  0.7753 
   00152    0.4375   -1403.9802  0.7753 
   00153    0.4450   -1389.3576  0.7649 
   00154    0.4100   -1394.8155  0.7735 
   00155    0.4625   -1395.2063  0.7868 
   00156    0.3925   -1399.3989  0.7809 
   00157    0.4150   -1393.8756  0.7865 
   00158    0.4350   -1398.0807  0.7797 
   00159    0.4150   -1388.1976  0.7809 
   00160    0.4875   -1383.8455  0.7738 
   00161    0.3925   -1379.7197  0.7663 
   00162    0.4175   -1372.4406  0.7686 
   00163    0.4650   -1373.1375  0.7676 
   00164    0.4425   -1374.2726  0.7793 
   00165    0.4300   -1392.9390  0.7843 
   00166    0.4400   -1390.7007  0.7771 
   00167    0.4575   -1391.7966  0.7753 
   00168    0.4200   -1403.5479  0.7886 
   00169    0.4225   -1404.5045  0.7959 
   00170    0.4125   -1402.3850  0.7868 
   00171    0.3975   -1408.4315  0.7888 
   00172    0.4675   -1397.0627  0.7847 
