#=====================================================
# File created:        Thu-26-Oct-2023-at-11-43-18AM
# Size of lattice:     20x20
# Number of MC steps:  10
# Reduced temperature: 0.600
# Run time (s):        0.198892
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -372.3616  0.3181 
   00001    0.3250    -380.5993  0.3202 
   00002    0.4000    -396.2708  0.3160 
   00003    0.2750    -404.2254  0.3222 
   00004    0.4000    -407.3147  0.3199 
   00005    0.4000    -407.0953  0.3224 
   00006    0.3750    -411.7790  0.3215 
   00007    0.4250    -428.8505  0.3261 
   00008    0.3750    -433.8914  0.3223 
   00009    0.3500    -446.3982  0.3201 
   00010    0.3500    -466.4846  0.3125 
