#=====================================================
# File created:        Mon-06-Nov-2023-at-10-56-41AM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 0.600
# Run time (s):        40.287170
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1651.1106  0.2749 
   00001    0.6425   -1871.4283  0.2849 
   00002    0.6200   -2057.4498  0.2882 
   00003    0.6225   -2210.0073  0.2896 
   00004    0.5750   -2329.4115  0.2848 
   00005    0.5850   -2448.7606  0.2832 
   00006    0.6225   -2606.7772  0.2906 
   00007    0.5825   -2733.2419  0.2954 
   00008    0.5000   -2809.3629  0.3035 
   00009    0.5475   -2887.5999  0.2999 
   00010    0.5250   -2976.9917  0.3024 
   00011    0.5550   -3066.1405  0.3109 
   00012    0.5300   -3153.2232  0.3120 
   00013    0.4750   -3217.8290  0.3122 
   00014    0.5325   -3266.9562  0.3113 
   00015    0.4675   -3306.6580  0.3092 
   00016    0.5200   -3382.4946  0.3191 
   00017    0.5300   -3455.5194  0.3223 
   00018    0.4700   -3526.7619  0.3292 
   00019    0.5075   -3558.6091  0.3295 
   00020    0.5075   -3616.5036  0.3362 
   00021    0.4925   -3649.9137  0.3454 
   00022    0.4675   -3704.4252  0.3490 
   00023    0.4825   -3755.0419  0.3560 
   00024    0.5000   -3767.1618  0.3580 
   00025    0.4700   -3817.6709  0.3557 
   00026    0.4225   -3851.6518  0.3630 
   00027    0.4475   -3866.1853  0.3661 
   00028    0.4875   -3909.9683  0.3654 
   00029    0.4200   -3923.6241  0.3700 
   00030    0.4475   -3965.2604  0.3696 
   00031    0.4900   -3971.3710  0.3731 
   00032    0.4400   -3967.2891  0.3729 
   00033    0.4150   -3999.8055  0.3718 
   00034    0.4400   -4038.1152  0.3781 
   00035    0.4450   -4069.3636  0.3786 
   00036    0.4600   -4092.0083  0.3756 
   00037    0.4250   -4119.9168  0.3760 
   00038    0.4450   -4144.2097  0.3741 
   00039    0.4225   -4153.6750  0.3733 
   00040    0.4400   -4174.0942  0.3760 
   00041    0.4425   -4165.2456  0.3725 
   00042    0.4625   -4206.0611  0.3718 
   00043    0.4200   -4229.9847  0.3778 
   00044    0.4250   -4233.3925  0.3767 
   00045    0.4250   -4254.8026  0.3751 
   00046    0.3925   -4226.1312  0.3750 
   00047    0.4175   -4254.4253  0.3692 
   00048    0.4375   -4270.0918  0.3689 
   00049    0.4425   -4297.1927  0.3691 
   00050    0.4300   -4337.3134  0.3719 
   00051    0.3875   -4340.9466  0.3702 
   00052    0.4225   -4335.9439  0.3713 
   00053    0.3775   -4368.1280  0.3715 
   00054    0.4750   -4379.8445  0.3802 
