#=====================================================
# File created:        Thu-26-Oct-2023-at-02-17-21PM
# Size of lattice:     60x60
# Number of MC steps:  10
# Reduced temperature: 0.400
# Run time (s):        0.850252
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3743.0500  0.2615 
   00001    0.6000   -3879.1939  0.2597 
   00002    0.5806   -4007.5768  0.2630 
   00003    0.5889   -4145.7790  0.2639 
   00004    0.5722   -4291.8166  0.2623 
   00005    0.5611   -4413.9965  0.2636 
   00006    0.5944   -4539.4443  0.2628 
   00007    0.5944   -4644.3272  0.2657 
   00008    0.5694   -4750.2743  0.2658 
   00009    0.5556   -4864.1166  0.2644 
   00010    0.5778   -4974.2058  0.2634 
