#=====================================================
# File created:        Wed-25-Oct-2023-at-03-56-51PM
# Size of lattice:     60x60
# Number of MC steps:  10
# Reduced temperature: 1.000
# Run time (s):        0.868066
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3673.3448  0.2623 
   00001    0.6528   -3897.5108  0.2636 
   00002    0.5972   -4093.8079  0.2629 
   00003    0.5778   -4274.8269  0.2604 
   00004    0.6056   -4468.9691  0.2609 
   00005    0.5972   -4604.2393  0.2623 
   00006    0.5972   -4761.3636  0.2588 
   00007    0.5778   -4901.9425  0.2591 
   00008    0.5667   -5124.8375  0.2602 
   00009    0.5583   -5257.7813  0.2583 
   00010    0.5667   -5359.6441  0.2581 
