#=====================================================
# File created:        Mon-06-Nov-2023-at-11-34-55AM
# Size of lattice:     80x80
# Number of MC steps:  1000
# Reduced temperature: 0.800
# Run time (s):        158.964410
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6265.4469  0.2650 
   00001    0.6806   -7352.9545  0.2641 
   00002    0.6581   -8201.0714  0.2724 
   00003    0.6331   -8873.5771  0.2781 
   00004    0.6225   -9481.6698  0.2776 
   00005    0.6056  -10014.3754  0.2714 
   00006    0.5731  -10559.3586  0.2741 
   00007    0.5925  -11008.4816  0.2729 
   00008    0.5763  -11422.2172  0.2771 
   00009    0.5719  -11769.0240  0.2793 
   00010    0.5456  -12154.8415  0.2871 
   00011    0.5506  -12424.5133  0.2864 
   00012    0.5256  -12619.2045  0.2895 
   00013    0.5288  -12742.9401  0.2896 
   00014    0.5250  -12951.0156  0.2924 
   00015    0.5337  -13211.7389  0.2913 
   00016    0.5012  -13329.1378  0.2850 
   00017    0.5125  -13530.8229  0.2810 
   00018    0.5025  -13668.2340  0.2784 
   00019    0.5025  -13722.6735  0.2786 
   00020    0.5125  -13829.2306  0.2805 
   00021    0.5044  -13960.2489  0.2788 
   00022    0.4975  -14118.7001  0.2817 
   00023    0.5000  -14302.3765  0.2819 
   00024    0.4719  -14346.6812  0.2879 
   00025    0.4950  -14445.1603  0.2864 
   00026    0.4869  -14550.3575  0.2849 
   00027    0.4981  -14675.1697  0.2873 
   00028    0.4713  -14724.4394  0.2875 
   00029    0.4863  -14821.8798  0.2888 
   00030    0.4900  -14937.6547  0.2887 
   00031    0.4675  -15075.7465  0.2906 
   00032    0.4719  -15151.8440  0.2864 
   00033    0.4637  -15235.2088  0.2832 
   00034    0.4738  -15231.5214  0.2863 
   00035    0.4612  -15312.1264  0.2837 
   00036    0.4794  -15360.7894  0.2857 
   00037    0.4788  -15437.6854  0.2839 
   00038    0.4500  -15404.5382  0.2845 
   00039    0.4587  -15491.5367  0.2851 
   00040    0.4631  -15510.4990  0.2874 
   00041    0.4619  -15690.7680  0.2856 
   00042    0.4637  -15733.7438  0.2923 
   00043    0.4487  -15787.6991  0.2965 
   00044    0.4406  -15828.0737  0.2958 
   00045    0.4625  -15855.3205  0.2961 
   00046    0.4575  -15915.3052  0.2961 
   00047    0.4363  -16009.8755  0.2968 
   00048    0.4437  -15998.9971  0.2983 
   00049    0.4506  -16021.4751  0.2978 
   00050    0.4556  -16044.3184  0.2987 
   00051    0.4531  -16016.4377  0.3008 
   00052    0.4475  -16038.2315  0.2985 
   00053    0.4481  -16036.1398  0.2974 
   00054    0.4500  -16086.9312  0.2989 
   00055    0.4363  -16174.5959  0.3015 
   00056    0.4363  -16235.7316  0.3025 
   00057    0.4637  -16288.6610  0.3047 
   00058    0.4300  -16425.5771  0.3033 
   00059    0.4481  -16423.7685  0.3009 
   00060    0.4269  -16435.9532  0.3026 
   00061    0.4475  -16521.4272  0.3020 
   00062    0.4250  -16533.1729  0.3035 
   00063    0.4519  -16541.9888  0.3053 
   00064    0.4250  -16587.3233  0.3022 
   00065    0.4338  -16575.2037  0.3013 
   00066    0.4363  -16608.3678  0.3019 
   00067    0.4425  -16606.1196  0.3051 
   00068    0.4425  -16650.3112  0.3062 
   00069    0.4644  -16624.9765  0.3068 
   00070    0.4231  -16700.1660  0.3044 
   00071    0.4338  -16737.8900  0.3024 
   00072    0.4281  -16810.3619  0.3038 
   00073    0.4181  -16793.5068  0.3035 
   00074    0.4419  -16689.3331  0.3020 
   00075    0.4400  -16756.5458  0.2979 
   00076    0.4325  -16754.9746  0.2949 
   00077    0.4425  -16818.5076  0.2965 
   00078    0.4363  -16843.2458  0.2985 
   00079    0.4000  -16902.6598  0.2961 
   00080    0.4325  -16931.6591  0.2953 
   00081    0.4213  -16972.1367  0.2959 
   00082    0.4294  -17002.4075  0.2933 
   00083    0.4238  -17013.6017  0.2960 
   00084    0.4269  -16982.1672  0.2962 
   00085    0.4069  -17042.9810  0.2963 
   00086    0.4050  -17013.2248  0.2933 
   00087    0.4306  -17079.9142  0.2921 
   00088    0.4494  -17068.7511  0.2926 
   00089    0.4281  -17082.3093  0.2900 
   00090    0.4313  -17084.9342  0.2883 
   00091    0.4319  -17070.0343  0.2884 
   00092    0.4175  -16978.3218  0.2903 
   00093    0.4069  -17017.0964  0.2884 
   00094    0.4363  -17100.1456  0.2908 
   00095    0.4431  -17124.1655  0.2870 
   00096    0.4356  -17175.3437  0.2847 
   00097    0.4113  -17159.0939  0.2854 
   00098    0.4419  -17133.5148  0.2866 
   00099    0.4138  -17069.5516  0.2874 
   00100    0.4238  -17149.6084  0.2898 
   00101    0.4344  -17184.7053  0.2919 
   00102    0.4062  -17226.4209  0.2921 
   00103    0.4213  -17272.6679  0.2921 
   00104    0.4163  -17246.4425  0.2926 
   00105    0.4350  -17192.6451  0.2927 
   00106    0.4012  -17190.0501  0.2922 
   00107    0.4231  -17197.1333  0.2912 
   00108    0.4313  -17248.8274  0.2914 
   00109    0.4062  -17230.8753  0.2928 
   00110    0.4194  -17203.4046  0.2941 
   00111    0.4175  -17169.7683  0.2936 
   00112    0.4338  -17195.8342  0.2935 
   00113    0.4169  -17270.0385  0.2934 
   00114    0.4050  -17305.8252  0.2895 
   00115    0.4369  -17296.5821  0.2916 
   00116    0.4306  -17338.6657  0.2904 
   00117    0.4350  -17302.6374  0.2909 
   00118    0.4025  -17309.6261  0.2901 
   00119    0.4125  -17258.5913  0.2868 
   00120    0.4150  -17241.4995  0.2871 
   00121    0.4194  -17233.3045  0.2875 
   00122    0.4462  -17251.9923  0.2854 
   00123    0.4188  -17242.2042  0.2816 
   00124    0.4019  -17281.3364  0.2818 
   00125    0.4213  -17365.3022  0.2807 
   00126    0.4319  -17403.1199  0.2773 
   00127    0.4131  -17458.7390  0.2805 
   00128    0.4150  -17472.9811  0.2841 
   00129    0.4381  -17482.9091  0.2839 
   00130    0.4300  -17446.6442  0.2825 
   00131    0.4138  -17504.4028  0.2826 
   00132    0.4125  -17516.7983  0.2839 
   00133    0.4188  -17490.6692  0.2849 
   00134    0.4200  -17497.8516  0.2836 
   00135    0.4150  -17493.0981  0.2857 
   00136    0.4106  -17487.3947  0.2848 
   00137    0.4100  -17497.6605  0.2807 
   00138    0.4025  -17574.4233  0.2802 
   00139    0.4056  -17596.4212  0.2818 
   00140    0.4000  -17574.8134  0.2832 
   00141    0.4156  -17513.3106  0.2822 
   00142    0.4181  -17558.3698  0.2822 
   00143    0.3969  -17584.5017  0.2825 
   00144    0.4200  -17640.5107  0.2815 
   00145    0.4175  -17657.3426  0.2829 
   00146    0.4119  -17632.8407  0.2831 
   00147    0.3987  -17626.3869  0.2822 
   00148    0.3806  -17636.5617  0.2849 
   00149    0.3962  -17625.1756  0.2810 
