#=====================================================
# File created:        Thu-02-Nov-2023-at-03-25-33PM
# Size of lattice:     20x20
# Number of MC steps:  10
# Reduced temperature: 2.000
# Run time (s):        0.135493
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -412.4905  0.3130 
   00001    0.7875    -568.6338  0.3151 
   00002    0.7575    -617.5860  0.2864 
   00003    0.7500    -653.7895  0.2868 
   00004    0.7500    -589.6265  0.3256 
   00005    0.7725    -618.8904  0.2717 
   00006    0.7175    -676.4780  0.2705 
   00007    0.7050    -646.9986  0.2862 
   00008    0.7325    -681.1820  0.2881 
   00009    0.6825    -665.9965  0.2963 
   00010    0.7450    -656.6884  0.2984 
