#=====================================================
# File created:        Mon-06-Nov-2023-at-02-33-03PM
# Size of lattice:     40x40
# Number of MC steps:  1000
# Reduced temperature: 2.000
# Run time (s):        41.622697
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1551.0200  0.2674 
   00001    0.7850   -2159.0000  0.2767 
   00002    0.7744   -2450.4730  0.2608 
   00003    0.7506   -2438.4752  0.2564 
   00004    0.7400   -2511.3765  0.2690 
   00005    0.7100   -2598.8037  0.2727 
   00006    0.7406   -2446.9442  0.2708 
   00007    0.7544   -2510.1479  0.2828 
   00008    0.7206   -2548.1102  0.2861 
   00009    0.7256   -2470.7587  0.2836 
   00010    0.7394   -2511.5521  0.2830 
   00011    0.7350   -2475.7031  0.2976 
   00012    0.7131   -2561.2313  0.3065 
   00013    0.7219   -2552.6364  0.2820 
   00014    0.7306   -2620.8228  0.2802 
   00015    0.7037   -2642.1400  0.2891 
   00016    0.7275   -2651.7691  0.2942 
   00017    0.7206   -2619.6422  0.2682 
   00018    0.7231   -2626.8239  0.2737 
   00019    0.7194   -2545.8987  0.2799 
   00020    0.7331   -2546.1304  0.2796 
   00021    0.7137   -2512.0880  0.2672 
   00022    0.7388   -2500.5489  0.2542 
   00023    0.7219   -2535.3118  0.2684 
   00024    0.7163   -2571.2125  0.2658 
   00025    0.7281   -2629.6291  0.2783 
   00026    0.7288   -2512.8655  0.2686 
   00027    0.7212   -2554.6036  0.2656 
   00028    0.7350   -2619.4760  0.2603 
   00029    0.7044   -2505.1052  0.2652 
   00030    0.7488   -2434.4965  0.2940 
   00031    0.7431   -2606.7755  0.2838 
   00032    0.7250   -2593.4262  0.2756 
   00033    0.7212   -2541.4912  0.2705 
   00034    0.7269   -2604.3000  0.2722 
   00035    0.7119   -2524.6111  0.2598 
   00036    0.7175   -2527.0567  0.2684 
   00037    0.7106   -2516.0399  0.2731 
   00038    0.7212   -2550.5577  0.2765 
   00039    0.7044   -2592.9078  0.2550 
   00040    0.7394   -2599.5727  0.2704 
   00041    0.7219   -2582.0258  0.2664 
   00042    0.7144   -2637.7936  0.2655 
   00043    0.7181   -2719.2323  0.2626 
   00044    0.7100   -2643.4452  0.2757 
   00045    0.7312   -2541.6382  0.2579 
   00046    0.7150   -2530.3029  0.2857 
   00047    0.7244   -2509.6054  0.2932 
   00048    0.7388   -2455.0315  0.2870 
   00049    0.7331   -2514.3845  0.2970 
   00050    0.7281   -2532.1788  0.2811 
   00051    0.7256   -2502.3741  0.2840 
   00052    0.7081   -2680.2875  0.2739 
   00053    0.7119   -2601.4880  0.2698 
   00054    0.7100   -2556.1824  0.2786 
   00055    0.7256   -2637.7995  0.2744 
   00056    0.7238   -2595.2570  0.2682 
   00057    0.7156   -2580.9300  0.2882 
   00058    0.7150   -2547.1347  0.2756 
   00059    0.7113   -2560.5320  0.2570 
   00060    0.7369   -2455.1028  0.2520 
   00061    0.7275   -2509.9799  0.2712 
   00062    0.7319   -2507.8695  0.2640 
   00063    0.7375   -2528.2609  0.2697 
   00064    0.7169   -2544.9637  0.2708 
   00065    0.7362   -2541.2439  0.2618 
   00066    0.7181   -2541.6541  0.2585 
   00067    0.7338   -2536.0754  0.2745 
   00068    0.7281   -2492.4988  0.2717 
   00069    0.7306   -2511.7316  0.2742 
   00070    0.7206   -2512.3411  0.2653 
   00071    0.7113   -2614.3856  0.2643 
   00072    0.7075   -2564.0708  0.2721 
   00073    0.7281   -2572.5856  0.2704 
   00074    0.7331   -2474.7560  0.2929 
   00075    0.7469   -2593.8729  0.2941 
   00076    0.7275   -2474.8102  0.2864 
   00077    0.7262   -2499.4861  0.2860 
   00078    0.7131   -2603.2217  0.3124 
   00079    0.7362   -2541.2526  0.2958 
   00080    0.7419   -2606.5856  0.2801 
   00081    0.7294   -2465.9304  0.2863 
   00082    0.7419   -2447.0089  0.2839 
   00083    0.7306   -2512.5297  0.3006 
   00084    0.7575   -2483.0013  0.2996 
   00085    0.7312   -2580.0827  0.3031 
   00086    0.7338   -2535.6692  0.2932 
   00087    0.7269   -2470.6724  0.2864 
   00088    0.7450   -2515.7790  0.2812 
   00089    0.7300   -2501.0656  0.2862 
   00090    0.7044   -2628.9940  0.2819 
   00091    0.7163   -2575.2068  0.2909 
   00092    0.7362   -2517.9553  0.2904 
   00093    0.7125   -2630.0706  0.2840 
   00094    0.7119   -2553.1831  0.2811 
   00095    0.7188   -2535.5243  0.2802 
   00096    0.7206   -2707.8327  0.2792 
   00097    0.7319   -2551.4440  0.2750 
   00098    0.7306   -2568.1164  0.2695 
   00099    0.7269   -2493.7789  0.2768 
   00100    0.7394   -2559.4507  0.2669 
   00101    0.7262   -2603.5366  0.2678 
   00102    0.7275   -2533.5311  0.2645 
   00103    0.7306   -2511.6752  0.2618 
   00104    0.7031   -2651.1885  0.2718 
   00105    0.7312   -2547.7248  0.2601 
   00106    0.7438   -2448.9448  0.2550 
   00107    0.7075   -2552.7266  0.2696 
   00108    0.7325   -2537.5816  0.2822 
   00109    0.7175   -2596.4998  0.2674 
   00110    0.7156   -2648.8490  0.2584 
   00111    0.7119   -2579.6989  0.2616 
   00112    0.7169   -2519.0428  0.2846 
   00113    0.7350   -2601.7811  0.2658 
   00114    0.7137   -2539.9162  0.2780 
   00115    0.7225   -2526.8330  0.2808 
   00116    0.7087   -2512.9134  0.2858 
   00117    0.7281   -2372.8272  0.2702 
   00118    0.7350   -2486.1097  0.2769 
   00119    0.7269   -2527.0372  0.2996 
   00120    0.7606   -2503.7857  0.2903 
   00121    0.7306   -2510.1658  0.3008 
   00122    0.7381   -2451.8054  0.2753 
   00123    0.7238   -2535.7260  0.2541 
   00124    0.7306   -2538.5869  0.2770 
   00125    0.7362   -2522.2869  0.2879 
   00126    0.7444   -2616.5291  0.2888 
   00127    0.7150   -2599.8670  0.2743 
   00128    0.7188   -2556.4081  0.2599 
   00129    0.7212   -2474.4801  0.2810 
   00130    0.7312   -2414.1709  0.2623 
   00131    0.7450   -2509.9662  0.2771 
   00132    0.7300   -2506.8393  0.2765 
   00133    0.7525   -2443.5447  0.2731 
   00134    0.7475   -2471.6182  0.2751 
   00135    0.7356   -2500.0968  0.2848 
   00136    0.7369   -2572.6423  0.2779 
   00137    0.7019   -2482.1825  0.2602 
   00138    0.7269   -2559.4103  0.2518 
