#=====================================================
# File created:        Mon-06-Nov-2023-at-03-21-34PM
# Size of lattice:     80x80
# Number of MC steps:  1000
# Reduced temperature: 0.400
# Run time (s):        36.282433
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6314.4093  0.2579 
   00001    0.6798   -9245.6223  0.2600 
   00002    0.6361  -11364.9197  0.2643 
   00003    0.6091  -12974.2884  0.2684 
   00004    0.5677  -14220.5876  0.2657 
   00005    0.5561  -15077.8193  0.2658 
   00006    0.5292  -15870.3977  0.2759 
   00007    0.5238  -16569.3661  0.2830 
   00008    0.5055  -17094.5172  0.2860 
   00009    0.5072  -17591.9561  0.2837 
   00010    0.4963  -18112.6645  0.2873 
   00011    0.4905  -18487.1401  0.2917 
   00012    0.4791  -18834.5907  0.2966 
   00013    0.4759  -19052.3608  0.2992 
   00014    0.4727  -19282.7874  0.2968 
   00015    0.4813  -19511.7729  0.2974 
   00016    0.4641  -19679.0103  0.2988 
   00017    0.4675  -19774.7357  0.3008 
   00018    0.4609  -19925.1951  0.2985 
   00019    0.4584  -19987.8376  0.2983 
   00020    0.4627  -20142.4640  0.3013 
   00021    0.4677  -20227.9606  0.3053 
   00022    0.4648  -20301.4836  0.3113 
   00023    0.4491  -20344.4806  0.3124 
   00024    0.4591  -20422.3549  0.3190 
   00025    0.4617  -20541.0137  0.3249 
   00026    0.4606  -20589.9683  0.3305 
   00027    0.4636  -20633.3235  0.3311 
   00028    0.4500  -20699.8423  0.3303 
   00029    0.4333  -20818.8819  0.3318 
   00030    0.4339  -20865.5828  0.3365 
   00031    0.4489  -20991.6470  0.3382 
   00032    0.4425  -21037.8275  0.3405 
   00033    0.4470  -21109.4076  0.3434 
   00034    0.4300  -21108.3834  0.3479 
   00035    0.4420  -21143.1344  0.3481 
   00036    0.4416  -21158.2054  0.3477 
   00037    0.4495  -21138.4760  0.3498 
   00038    0.4453  -21207.9992  0.3504 
   00039    0.4387  -21169.9113  0.3539 
   00040    0.4506  -21198.0956  0.3542 
   00041    0.4389  -21219.2956  0.3542 
   00042    0.4341  -21305.9814  0.3528 
   00043    0.4395  -21342.1151  0.3520 
   00044    0.4355  -21367.9032  0.3499 
   00045    0.4416  -21386.0816  0.3483 
   00046    0.4389  -21424.9082  0.3489 
   00047    0.4394  -21457.4095  0.3528 
   00048    0.4397  -21464.2971  0.3537 
   00049    0.4363  -21467.2208  0.3531 
   00050    0.4556  -21501.4687  0.3540 
   00051    0.4352  -21540.5155  0.3558 
   00052    0.4328  -21553.2933  0.3547 
   00053    0.4275  -21564.0553  0.3551 
   00054    0.4309  -21571.6556  0.3583 
   00055    0.4264  -21587.0025  0.3563 
   00056    0.4442  -21625.4695  0.3580 
   00057    0.4323  -21674.6004  0.3583 
   00058    0.4447  -21724.8095  0.3554 
   00059    0.4419  -21717.2117  0.3559 
   00060    0.4366  -21694.7225  0.3567 
   00061    0.4378  -21686.0730  0.3573 
   00062    0.4342  -21761.7592  0.3548 
   00063    0.4322  -21790.4672  0.3581 
   00064    0.4311  -21835.1242  0.3613 
   00065    0.4395  -21774.8284  0.3609 
   00066    0.4394  -21805.3546  0.3641 
   00067    0.4267  -21777.3829  0.3601 
   00068    0.4398  -21808.6786  0.3555 
   00069    0.4508  -21844.5072  0.3518 
   00070    0.4380  -21863.0879  0.3523 
   00071    0.4412  -21831.1984  0.3493 
