LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.325, Time: 4.692282 s
         1520114 function calls (1504981 primitive calls) in 5.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    290/1    0.004    0.000    5.733    5.733 {built-in method builtins.exec}
        1    0.000    0.000    5.733    5.733 LebwohlLasher.py:1(<module>)
        1    0.001    0.001    4.748    4.748 LebwohlLasher.py:257(main)
   377500    3.002    0.000    3.002    0.000 LebwohlLasher.py:131(one_energy)
       50    0.448    0.009    2.701    0.054 LebwohlLasher.py:210(MC_step)
       34    0.002    0.000    1.300    0.038 __init__.py:1(<module>)
       51    1.015    0.020    1.026    0.020 LebwohlLasher.py:182(get_order)
       51    0.058    0.001    1.018    0.020 LebwohlLasher.py:165(all_energy)
    341/3    0.004    0.000    0.985    0.328 <frozen importlib._bootstrap>:1165(_find_and_load)
    338/3    0.002    0.000    0.985    0.328 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    326/4    0.002    0.000    0.982    0.246 <frozen importlib._bootstrap>:666(_load_unlocked)
    281/4    0.001    0.000    0.982    0.246 <frozen importlib._bootstrap_external>:934(exec_module)
    798/7    0.001    0.000    0.979    0.140 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   434/15    0.001    0.000    0.920    0.061 {built-in method builtins.__import__}
   475/50    0.001    0.000    0.857    0.017 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.001    0.001    0.594    0.594 pyplot.py:1(<module>)
1112/1004    0.026    0.000    0.439    0.000 {built-in method builtins.__build_class__}
      105    0.001    0.000    0.327    0.003 artist.py:159(_update_set_signature_and_docstring)
      104    0.001    0.000    0.322    0.003 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.306    0.306 figure.py:1(<module>)
      117    0.001    0.000    0.258    0.002 artist.py:1837(kwdoc)
        1    0.000    0.000    0.234    0.234 colorbar.py:1(<module>)
      117    0.007    0.000    0.220    0.002 artist.py:1598(pprint_setters)
      281    0.004    0.000    0.205    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
    94436    0.203    0.000    0.203    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     4252    0.015    0.000    0.180    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.141    0.141 contour.py:1(<module>)
      281    0.002    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.129    0.129 backend_bases.py:1(<module>)
     7306    0.082    0.000    0.127    0.000 inspect.py:867(cleandoc)
     7315    0.007    0.000    0.119    0.000 inspect.py:848(getdoc)
      281    0.109    0.000    0.109    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.105    0.105 rcsetup.py:1(<module>)
        1    0.000    0.000    0.101    0.101 text.py:1(<module>)
        1    0.000    0.000    0.098    0.098 _axes.py:1(<module>)
      334    0.004    0.000    0.093    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      316    0.000    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      223    0.001    0.000    0.085    0.000 artist.py:1422(__init__)
      316    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      223    0.014    0.000    0.084    0.000 artist.py:1442(get_aliases)
        1    0.000    0.000    0.083    0.083 collections.py:1(<module>)
      551    0.006    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.065    0.065 axes3d.py:1(<module>)
        1    0.000    0.000    0.063    0.063 _base.py:1(<module>)
     6803    0.007    0.000    0.061    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.057    0.057 patches.py:1(<module>)
     1271    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1286    0.054    0.000    0.054    0.000 {built-in method nt.stat}
     5768    0.004    0.000    0.053    0.000 __init__.py:173(search)
      223    0.018    0.000    0.053    0.000 artist.py:1517(get_setters)
        9    0.000    0.000    0.052    0.006 _base.py:729(__init_subclass__)
        1    0.000    0.000    0.051    0.051 _fontconfig_pattern.py:1(<module>)
      212    0.001    0.000    0.051    0.000 _compiler.py:738(compile)
        3    0.001    0.000    0.049    0.016 core.py:1(<module>)
        1    0.000    0.000    0.048    0.048 colors.py:1(<module>)
      281    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      281    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
  326/324    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      136    0.001    0.000    0.043    0.000 _docstring.py:38(__call__)
  126/115    0.000    0.000    0.042    0.000 _docstring.py:79(__call__)
       30    0.006    0.000    0.035    0.001 __init__.py:860(_rc_params_in_file)
       12    0.000    0.000    0.034    0.003 _docstring.py:51(__missing__)
        1    0.000    0.000    0.033    0.033 index_tricks.py:1(<module>)
      703    0.001    0.000    0.033    0.000 inspect.py:3278(signature)
      703    0.002    0.000    0.032    0.000 inspect.py:3024(from_callable)
      212    0.001    0.000    0.031    0.000 _parser.py:972(parse)
       26    0.000    0.000    0.031    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
       26    0.028    0.001    0.031    0.001 {built-in method _imp.create_dynamic}
  769/703    0.004    0.000    0.031    0.000 inspect.py:2428(_signature_from_callable)
      223    0.017    0.000    0.029    0.000 artist.py:1453(<listcomp>)
  461/212    0.002    0.000    0.029    0.000 _parser.py:449(_parse_sub)
  491/215    0.012    0.000    0.028    0.000 _parser.py:509(_parse)
        1    0.000    0.000    0.028    0.028 art3d.py:1(<module>)
        1    0.000    0.000    0.027    0.027 defmatrix.py:1(<module>)
     2692    0.017    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.025    0.025 linalg.py:1(<module>)
        2    0.000    0.000    0.025    0.012 core.py:206(read_style_directory)
        1    0.000    0.000    0.025    0.025 geo.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _pickle.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _axes.py:46(Axes)
      689    0.008    0.000    0.022    0.000 inspect.py:2333(_signature_from_function)
     9937    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
      407    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    26/21    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    26/21    0.004    0.000    0.020    0.001 {built-in method _imp.exec_dynamic}
      447    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
      375    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.020    0.020 axis.py:1(<module>)
        1    0.000    0.000    0.020    0.020 offsetbox.py:1(<module>)
       61    0.000    0.000    0.020    0.000 __init__.py:225(compile)
        1    0.000    0.000    0.020    0.020 numerictypes.py:1(<module>)
     6182    0.012    0.000    0.019    0.000 inspect.py:2686(__init__)
      973    0.001    0.000    0.019    0.000 __init__.py:724(__setitem__)
        1    0.000    0.000    0.018    0.018 category.py:1(<module>)
        1    0.000    0.000    0.018    0.018 Image.py:1(<module>)
      212    0.001    0.000    0.017    0.000 _compiler.py:571(_code)
      437    0.001    0.000    0.017    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.017    0.017 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.017    0.017 lines.py:1(<module>)
   100576    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.016    0.016 polar.py:1(<module>)
    69479    0.015    0.000    0.015    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.015    0.015 _distributor_init.py:1(<module>)
  421/349    0.001    0.000    0.015    0.000 typing.py:352(inner)
       94    0.001    0.000    0.015    0.000 __init__.py:1404(_preprocess_data)
        1    0.000    0.000    0.015    0.015 _parser.py:1(<module>)
        1    0.000    0.000    0.014    0.014 image.py:1(<module>)
        1    0.000    0.000    0.014    0.014 py3k.py:1(<module>)
153450/152329    0.013    0.000    0.014    0.000 {built-in method builtins.len}
      105    0.003    0.000    0.014    0.000 artist.py:170(<listcomp>)
      281    0.014    0.000    0.014    0.000 {method 'read' of '_io.BufferedReader' objects}
      954    0.001    0.000    0.014    0.000 artist.py:1542(is_alias)
      313    0.013    0.000    0.013    0.000 {method '__exit__' of '_io._IOBase' objects}
    63561    0.010    0.000    0.013    0.000 {built-in method builtins.isinstance}
      562    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      326    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.012    0.012 textpath.py:1(<module>)
        1    0.000    0.000    0.012    0.012 font_manager.py:1(<module>)
     4252    0.006    0.000    0.012    0.000 artist.py:1555(aliased_name)
 1091/212    0.006    0.000    0.012    0.000 _compiler.py:37(_compile)
       68    0.001    0.000    0.012    0.000 deprecation.py:128(deprecate)
        2    0.000    0.000    0.012    0.006 version.py:1(<module>)
        1    0.000    0.000    0.011    0.011 axis3d.py:1(<module>)
    54806    0.010    0.000    0.010    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.010    0.010 scale.py:1(<module>)
      930    0.007    0.000    0.010    0.000 inspect.py:2972(__init__)
15554/15545    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
    77847    0.010    0.000    0.010    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
      281    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.010    0.010 quiver.py:1(<module>)
3276/2866    0.003    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFDAC3F8F90}
       28    0.001    0.000    0.009    0.000 enum.py:497(__new__)
        1    0.000    0.000    0.009    0.009 backend_bases.py:1339(LocationEvent)
        1    0.000    0.000    0.009    0.009 __init__.py:253(_check_versions)
        1    0.000    0.000    0.009    0.009 helpers.py:1(<module>)
        1    0.000    0.000    0.009    0.009 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.009    0.009 multiarray.py:1(<module>)
        1    0.000    0.000    0.009    0.009 cm.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
        1    0.000    0.000    0.009    0.009 secrets.py:1(<module>)
      588    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:392(cached)
       18    0.000    0.000    0.008    0.000 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.008    0.008 legend.py:1(<module>)
        1    0.000    0.000    0.008    0.008 common.py:1(<module>)
        1    0.000    0.000    0.008    0.008 font_manager.py:1564(_load_fontmanager)
      307    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        5    0.000    0.000    0.008    0.002 __init__.py:108(import_module)
        5    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:1192(_gcd_import)
        1    0.000    0.000    0.008    0.008 overrides.py:1(<module>)
        1    0.000    0.000    0.008    0.008 common.py:8(pyparsing_common)
        1    0.000    0.000    0.007    0.007 font_manager.py:970(json_load)
       48    0.000    0.000    0.007    0.000 __init__.py:1360(_add_data_doc)
        1    0.000    0.000    0.007    0.007 ticker.py:1(<module>)
       51    0.003    0.000    0.007    0.000 linalg.py:1193(eig)
        1    0.000    0.000    0.007    0.007 __init__.py:274(load)
   104/92    0.000    0.000    0.007    0.000 typing.py:479(__getitem__)
        3    0.000    0.000    0.007    0.002 patches.py:2211(__init_subclass__)
        6    0.000    0.000    0.007    0.001 patches.py:2253(pprint_styles)
       92    0.000    0.000    0.007    0.000 typing.py:658(Union)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
      317    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
     6630    0.004    0.000    0.007    0.000 enum.py:686(__call__)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
        1    0.000    0.000    0.007    0.007 table.py:1(<module>)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
      410    0.004    0.000    0.006    0.000 enum.py:242(__set_name__)
        2    0.000    0.000    0.006    0.003 __init__.py:299(loads)
        2    0.000    0.000    0.006    0.003 decoder.py:332(decode)
        2    0.002    0.001    0.006    0.003 decoder.py:343(raw_decode)
      252    0.001    0.000    0.006    0.000 typing.py:1353(__init__)
        6    0.000    0.000    0.006    0.001 patches.py:2257(<listcomp>)
     8892    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
       53    0.003    0.000    0.006    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.006    0.006 utils.py:1(<module>)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tz.py:1(<module>)
       12    0.000    0.000    0.006    0.000 core.py:1132(parse_string)
